l1_category_group|l2_category|l3_sub_category|commodity_code_reference|labor_rights_risk|hse_risk|contr_manuf_contr_hse_gl|hse_risk_comment2|animal_welfare_risk|bribery_risk|bribery_risk_comment|contractor_safety_risk|ey_id|ey_source
Production Equipment, Machinery and Supplies|Production Equipment and Machinery|Production Equipment and Machinery Repairs and Maintenance|1105030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|Yes|11|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Production Equipment, Machinery and Supplies|Production Equipment and Machinery|Production Equipment and Machinery - Other|1105999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|12|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Production Equipment, Machinery and Supplies|Supplies|MROM Supplies|1115010|Possibly problem sector|No known problem in sector|No|Possible HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|No|13|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Production Equipment, Machinery and Supplies|Supplies|Supplies - Other|1115999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|14|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Facilities Management|Fixed Costs|Fixed Costs|1220010|Definitely problem sector|No known problem in sector|Yes|""|No known problem in sector|No known problem in sector|""|Yes|15|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Facilities Management|Variable and Ad-hoc Costs|Variable and Ad-hoc Costs|1230010|Definitely problem sector|No known problem in sector|Yes|""|No known problem in sector|No known problem in sector|""|Yes|16|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Buildings and Land|Buildings and Land|Building Leases, Rentals and Real Estate Transaction Services|1305010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If obtaining permits, licences, building regulations approval?|No|17|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Utilities|Electrical|Electrical - Other|2005900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|18|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Utilities|Gas|Gases - Other|2010900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|19|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Utilities|Other Energies|Other Energies - Other|2020900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|20|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Utilities|Water|Water Other|2025900|No known problem in sector|No known problem in sector|No|Possible HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|No|21|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Client (Leased)|2505010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|22|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Client (Purchased)|2505020|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|23|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Client (Maintenance)|2505030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|24|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Enterprise Platforms (Purchased)|2505040|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|25|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Enterprise Platforms (Leased)|2505050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|26|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware - Enterprise Platforms (Maintenance)|2505060|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|27|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Hardware|IT Hardware Other|2505999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|28|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Software|Software - Perpetual Licences|2510010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|29|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Software|Software - Subscription Licences|2510015|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|30|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Software|Software - Maintenance and Support|2510020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|31|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Software|Software as a Cloud Service (SAAS)|2510030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|32|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Software|Software - Other|2510999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|33|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Services|Application Lifecycle Activities -Development|2515020|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|34|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Services|Application Lifecycle Activities - Maintenance|2515040|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|35|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - Network|2530010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|36|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - Help Desk|2530015|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|37|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - On Site Support|2530020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|38|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - Mobile Telecom|2530025|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|39|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - Enterprise Platforms|2530030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|40|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
IT|IT Outsourced Services|Outsourced Services - Other|2530999|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|41|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Network|Leased Lines - Network|2605010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|42|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Network|IT Hardware - Connectivity (Purchased)|2605030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|43|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Network|IT Hardware - Connectivity (Leased)|2605040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|44|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Network|IT Hardware - Connectivity (Maintenance)|2605050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|45|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|IT Hardware - Mobile Telecom (Purchased)|2610010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|46|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|IT Hardware - Mobile Telecom (Leased)|2610015|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|47|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|Telecommunications Fixed Line Costs: Charges for Voice, IP Telephony|2610020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|48|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|Telecommunications Mobile Costs|2610030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|49|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|IT Hardware - Mobile Telecom (Maintenance)|2610050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|50|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Telecoms|Telecommunications|Telecoms other|2610999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|51|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Animals and Related Products|Laboratory Animals|3010010|Possibly problem sector|No known problem in sector|No|Possible HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|Definitely problem sector|No known problem in sector|""|No|52|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Animals and Related Products|Laboratory Animal Supplies (Food, Bedding, Accessories)|3010020|Possibly problem sector|No known problem in sector|No|Possible HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|No|53|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Animals and Related Products|Laboratory Animal related Services|3010060|No known problem in sector|No known problem in sector|No|""|Definitely problem sector|No known problem in sector|""|No|54|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Chemicals and Solvents|Laboratory Chemicals|3015050|Possibly problem sector|Definitely problem sector|No|""|No known problem in sector|No known problem in sector|""|No|55|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Chemicals and Solvents|Laboratory Gases|3015070|No known problem in sector|Definitely problem sector|No|""|No known problem in sector|No known problem in sector|""|No|56|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Supplies|Laboratory supplies|3020200|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|57|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Supplies|Chromatography supplies and columns|3020300|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|58|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment|Laboratory Apparatus|3035020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|59|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment|Laboratory Specialized Equipment|3035030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|60|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment Services and Parts|Laboratory Calibration and Metrology Services|3040010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|Yes|61|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment Services and Parts|Laboratory Equipment Service Contracts|3040020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|Yes|62|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment Services and Parts|Laboratory Time and Materials Repairs|3040030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|Yes|63|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory Equipment Services and Parts|Laboratory Equipment Parts|3040040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|64|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Cell, Molecular and Other Biological Reagents|Assay Kits|3050010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|65|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Cell, Molecular and Other Biological Reagents|Proteins, Enzymes|3050011|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|66|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Cell, Molecular and Other Biological Reagents|Biological Reagents|3050020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|67|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Personal Protective Equipment|Gloves|3060010|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|68|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Personal Protective Equipment|Garments|3060011|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|69|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Personal Protective Equipment|Lab Safety Cabinets|3060012|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|70|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Personal Protective Equipment|General Safety Supplies|3060013|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|71|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Laboratory Supplies and Equipment|Laboratory other|Laboratory other|3070999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|72|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Professional and Managed Markets Creative|3505010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|73|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Consumer Creative|3505030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|74|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Digital Creative|3505050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|75|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Public Relations ; Corporate Communications|3505060|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If providing public affairs services?|No|76|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Medical Communications|3505070|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing with healthcare professionals?|No|77|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Digital Production|3505075|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|78|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Advertising Production (non-Digital)|3505120|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|79|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Marketing Agency|Marketing Agency - Other|3505999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If third party is researching among healthcare professionals?|No|80|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Media|Media - Professionals|3510010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|81|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Media|Media - Consumers|3510020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|82|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Marketing|Media|Media - Other|3510999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|83|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
